row_id,start_year,event_name,admin_units,location,latitude,longitude,mapped_state,total_damage_usd,damage_missing,total_deaths,external_ids
54,2022,NA,"[{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]","Kelantan, Pahang, and Terengganu",NA,NA,Kelantan,240000,FALSE,6,No
2,2001,NA,"[{""adm2_code"":37401,""adm2_name"":""Seberang Perai Selatan""}]","Teluk Ipil area (Seberang Perai Selatan district, Pulau Pinang province)",NA,NA,NA,NA,TRUE,NA,No
3,2001,NA,"[{""adm2_code"":37405,""adm2_name"":""Beaufort""},{""adm2_code"":37409,""adm2_name"":""Kota Kinabalu""},{""adm2_code"":37415,""adm2_name"":""Papar""},{""adm2_code"":37416,""adm2_name"":""Penampang""},{""adm2_code"":37426,""adm2_name"":""Tuaran""}]","Inanam borough (Kota Kinabalu district, Sabah province), Beaufort, Papar, Penampang, Tuaran districts (Sabah province)",NA,NA,Sabah,NA,TRUE,NA,No
4,2001,NA,"[{""adm1_code"":1894,""adm1_name"":""Kuala Lumpur""}]",Kuala Lumpur province,NA,NA,Kuala Lumpur,NA,TRUE,NA,No
5,2001,NA,"[{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]","Pahang, Kelantan, Terengganu provinces",NA,NA,Kelantan,NA,TRUE,11,No
6,2003,NA,"[{""adm2_code"":37359,""adm2_name"":""Kota Bharu""},{""adm2_code"":37381,""adm2_name"":""Kuantan""},{""adm2_code"":37464,""adm2_name"":""Dungun""},{""adm2_code"":37466,""adm2_name"":""Kemaman""},{""adm2_code"":37467,""adm2_name"":""Kuala Terengganu""},{""adm2_code"":37468,""adm2_name"":""Marang""}]","Kuala Terengganu, Kemaman, Marang, Dungun districts (Terengganu province), Kota Bharu district (Kelantan province), Kuantan district (Pahang province)",NA,NA,Terengganu,NA,TRUE,5,No
7,2003,NA,"[{""adm2_code"":37407,""adm2_name"":""Kinabatangan""},{""adm2_code"":37410,""adm2_name"":""Kota Marud""},{""adm2_code"":37413,""adm2_name"":""Labuk \u0026 Sugut""}]","Kampung Pengkalan, Buang Sayang, Muhibbah Hujung, Muhibbah Baru, Sinar Baru, Lokan, Sri Tanjung areas (Kinabatangan district, Sabah province), Beluran area (Labuk & Sugut district, Sabah province), Kota Marud district (Sabah province)",NA,NA,Sabah,NA,TRUE,NA,No
8,2003,NA,"[{""adm1_code"":1892,""adm1_name"":""Kedah""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1898,""adm1_name"":""Perak""}]","Kedah, Pahang, Perak provinces",NA,NA,Kedah,NA,TRUE,3,No
9,2004,NA,"[{""adm2_code"":37338,""adm2_name"":""Johor Bahru""},{""adm2_code"":37340,""adm2_name"":""Kota Tinggi""},{""adm2_code"":37343,""adm2_name"":""Pontian""},{""adm2_code"":37427,""adm2_name"":""Bau""},{""adm2_code"":37436,""adm2_name"":""Kuching""},{""adm2_code"":37444,""adm2_name"":""Mukah""},{""adm2_code"":37445,""adm2_name"":""Samarahan""},{""adm2_code"":37449,""adm2_name"":""Sibu""}]","Kuching, Bau, Mukah, Sibu, Samarahan districts (Sarawak province), Johor Baru, Pontian, Kota Tinggi districts (Johor province)",NA,NA,Johor,NA,TRUE,3,No
10,2004,NA,"[{""adm1_code"":1891,""adm1_name"":""Johor""}]",Johor province,NA,NA,Johor,NA,TRUE,NA,No
12,2005,NA,"[{""adm2_code"":37409,""adm2_name"":""Kota Kinabalu""},{""adm2_code"":37426,""adm2_name"":""Tuaran""}]","Telipok village (Tuaran district, Sabah province), Menggatal area (Kota Kinabalu district, Sabah province)",NA,NA,Sabah,NA,TRUE,4,No
13,2005,NA,"[{""adm1_code"":1892,""adm1_name"":""Kedah""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1899,""adm1_name"":""Perlis""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]","Kelantan, Terengganu, Kedah, Perlis, Perak provinces",NA,NA,Kedah,NA,TRUE,9,No
14,2006,NA,"[{""adm1_code"":1891,""adm1_name"":""Johor""}]",Johor province,NA,NA,Johor,NA,TRUE,NA,No
15,2006,NA,"[{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]","Terengganu, Pahang, Kelantan provinces",4.33,102.54,Kelantan,NA,TRUE,NA,No
16,2006,NA,"[{""adm2_code"":37392,""adm2_name"":""Kinta""}]","Kampung Manjoi borough (Ipoh city, Kinta district, Perak province)",5.27,102.15,Perak,NA,TRUE,NA,No
20,2008,NA,"[{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1904,""adm1_name"":""Terengganu""},{""adm2_code"":37381,""adm2_name"":""Kuantan""}]","Cherating area (Kuantan district, Pahang province), Kelantan, Terengganu provinces",4.94,101.8,Kelantan,NA,TRUE,NA,No
21,2008,NA,"[{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1902,""adm1_name"":""Sarawak""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]","Pahang, Kelantan, Terengganu, Sarawak provinces",6.64,101.1,Kelantan,NA,TRUE,NA,No
22,2009,NA,"[{""adm1_code"":1892,""adm1_name"":""Kedah""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]","Kedah, Terengganu, Kelantan, Perak provinces",5.74,100.96,Kedah,NA,TRUE,NA,No
23,2009,NA,"[{""adm2_code"":37463,""adm2_name"":""Besut""},{""adm2_code"":37464,""adm2_name"":""Dungun""},{""adm2_code"":37465,""adm2_name"":""Hulu Terengganu""},{""adm2_code"":37466,""adm2_name"":""Kemaman""},{""adm2_code"":37468,""adm2_name"":""Marang""},{""adm2_code"":37469,""adm2_name"":""Setiu""}]","Hulu Terengganu, Besut, Setiu, Dungun, Marang, Kemaman districts (Terengganu province)",4.99,102.36,Terengganu,NA,TRUE,NA,No
24,2011,NA,"[{""adm1_code"":1891,""adm1_name"":""Johor""}]",Johor province,-4.05208,104.67,Johor,NA,TRUE,2,No
