start_year,location,admin_units,total_damage_thousand_usd,total_deaths,latitude,longitude,total_damage_usd,admin_l,loc_l,state_guess
2015,Sarawak province,"[{""adm1_code"":1902,""adm1_name"":""Sarawak""}]",0,1,NA,NA,0,"[{""adm1_code"":1902,""adm1_name"":""sarawak""}]",sarawak province,Sarawak
2016,"Johor, Melaka, Negri Sembilan, Sarawak province","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1902,""adm1_name"":""Sarawak""},{""adm2_code"":37376,""adm2_name"":""Seremban""}]",0,NA,NA,NA,0,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1895,""adm1_name"":""melaka""},{""adm1_code"":1902,""adm1_name"":""sarawak""},{""adm2_code"":37376,""adm2_name"":""seremban""}]","johor, melaka, negri sembilan, sarawak province",Johor
2016,"Yan, Baling districts (Kedah province), Penang city (Timur Laut district, Pulau Pinang province)","[{""adm2_code"":37345,""adm2_name"":""Baling""},{""adm2_code"":37355,""adm2_name"":""Yan""},{""adm2_code"":37404,""adm2_name"":""Timur Laut""}]",0,NA,NA,NA,0,"[{""adm2_code"":37345,""adm2_name"":""baling""},{""adm2_code"":37355,""adm2_name"":""yan""},{""adm2_code"":37404,""adm2_name"":""timur laut""}]","yan, baling districts (kedah province), penang city (timur laut district, pulau pinang province)",Kedah
2016,Terengganu province,"[{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",0,NA,5.122,102.56,0,"[{""adm1_code"":1904,""adm1_name"":""terengganu""}]",terengganu province,Terengganu
2016,"Bachok, Gua Musang, Jeli, Kota Bahru, Machang, Pasir Mas, Pasir Puteh, Tanah Merah, Tumpat, Kuala Krai districts (Kelantan state); Besut, Setiu, Hulu Terengganu, Marang, Dungun, Kemaman (Terengganu state); Kuala Kangsar (Perak state); Pahang; Johor; Sabah; Selangor","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1901,""adm1_name"":""Sabah""},{""adm1_code"":1903,""adm1_name"":""Selangor""},{""adm2_code"":37356,""adm2_name"":""Bachok""},{""adm2_code"":37357,""adm2_name"":""Gua Musang""},{""adm2_code"":37358,""adm2_name"":""Jeli""},{""adm2_code"":37359,""adm2_name"":""Kota Bharu""},{""adm2_code"":37360,""adm2_name"":""Kuala Krai""},{""adm2_code"":37361,""adm2_name"":""Machang""},{""adm2_code"":37362,""adm2_name"":""Pasir Mas""},{""adm2_code"":37363,""adm2_name"":""Pasir Puteh""},{""adm2_code"":37364,""adm2_name"":""Tanah Merah""},{""adm2_code"":37365,""adm2_name"":""Tumpat""},{""adm2_code"":37393,""adm2_name"":""Kuala Kangsar""},{""adm2_code"":37463,""adm2_name"":""Besut""},{""adm2_code"":37464,""adm2_name"":""Dungun""},{""adm2_code"":37465,""adm2_name"":""Hulu Terengganu""},{""adm2_code"":37466,""adm2_name"":""Kemaman""},{""adm2_code"":37468,""adm2_name"":""Marang""},{""adm2_code"":37469,""adm2_name"":""Setiu""}]",132000,NA,4.7,102.411,132000000,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm1_code"":1901,""adm1_name"":""sabah""},{""adm1_code"":1903,""adm1_name"":""selangor""},{""adm2_code"":37356,""adm2_name"":""bachok""},{""adm2_code"":37357,""adm2_name"":""gua musang""},{""adm2_code"":37358,""adm2_name"":""jeli""},{""adm2_code"":37359,""adm2_name"":""kota bharu""},{""adm2_code"":37360,""adm2_name"":""kuala krai""},{""adm2_code"":37361,""adm2_name"":""machang""},{""adm2_code"":37362,""adm2_name"":""pasir mas""},{""adm2_code"":37363,""adm2_name"":""pasir puteh""},{""adm2_code"":37364,""adm2_name"":""tanah merah""},{""adm2_code"":37365,""adm2_name"":""tumpat""},{""adm2_code"":37393,""adm2_name"":""kuala kangsar""},{""adm2_code"":37463,""adm2_name"":""besut""},{""adm2_code"":37464,""adm2_name"":""dungun""},{""adm2_code"":37465,""adm2_name"":""hulu terengganu""},{""adm2_code"":37466,""adm2_name"":""kemaman""},{""adm2_code"":37468,""adm2_name"":""marang""},{""adm2_code"":37469,""adm2_name"":""setiu""}]","bachok, gua musang, jeli, kota bahru, machang, pasir mas, pasir puteh, tanah merah, tumpat, kuala krai districts (kelantan state); besut, setiu, hulu terengganu, marang, dungun, kemaman (terengganu state); kuala kangsar (perak state); pahang; johor; sabah; selangor",Johor
2017,"7 states in Peninsular Malaysia (Kelantan, Terengganu, Johor, Pahang, Malacca, Selangor, Perak, Sabah)","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1901,""adm1_name"":""Sabah""},{""adm1_code"":1903,""adm1_name"":""Selangor""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",0,NA,3.932,102.461,0,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1895,""adm1_name"":""melaka""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm1_code"":1898,""adm1_name"":""perak""},{""adm1_code"":1901,""adm1_name"":""sabah""},{""adm1_code"":1903,""adm1_name"":""selangor""},{""adm1_code"":1904,""adm1_name"":""terengganu""}]","7 states in peninsular malaysia (kelantan, terengganu, johor, pahang, malacca, selangor, perak, sabah)",Johor
2017,"Penang, Kedah, Perak","[{""adm1_code"":1892,""adm1_name"":""Kedah""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1900,""adm1_name"":""Pulau Pinang""}]",0,7,5.247,101.026,0,"[{""adm1_code"":1892,""adm1_name"":""kedah""},{""adm1_code"":1898,""adm1_name"":""perak""},{""adm1_code"":1900,""adm1_name"":""pulau pinang""}]","penang, kedah, perak",Kedah
2017,"Kelantan (Kota Bharu, Pasir Mas, Tumpat, Bachok, Tanah Merah, Pasir Puteh, Kuala Krai, Machang, Jeli) and Terengganu (Besut, Kuala Terengganu, Marang, Dungun, Setiu, Kuala Nerus)","[{""adm2_code"":37356,""adm2_name"":""Bachok""},{""adm2_code"":37358,""adm2_name"":""Jeli""},{""adm2_code"":37359,""adm2_name"":""Kota Bharu""},{""adm2_code"":37360,""adm2_name"":""Kuala Krai""},{""adm2_code"":37361,""adm2_name"":""Machang""},{""adm2_code"":37362,""adm2_name"":""Pasir Mas""},{""adm2_code"":37363,""adm2_name"":""Pasir Puteh""},{""adm2_code"":37364,""adm2_name"":""Tanah Merah""},{""adm2_code"":37365,""adm2_name"":""Tumpat""},{""adm2_code"":37463,""adm2_name"":""Besut""},{""adm2_code"":37464,""adm2_name"":""Dungun""},{""adm2_code"":37467,""adm2_name"":""Kuala Terengganu""},{""adm2_code"":37468,""adm2_name"":""Marang""},{""adm2_code"":37469,""adm2_name"":""Setiu""}]",0,2,NA,NA,0,"[{""adm2_code"":37356,""adm2_name"":""bachok""},{""adm2_code"":37358,""adm2_name"":""jeli""},{""adm2_code"":37359,""adm2_name"":""kota bharu""},{""adm2_code"":37360,""adm2_name"":""kuala krai""},{""adm2_code"":37361,""adm2_name"":""machang""},{""adm2_code"":37362,""adm2_name"":""pasir mas""},{""adm2_code"":37363,""adm2_name"":""pasir puteh""},{""adm2_code"":37364,""adm2_name"":""tanah merah""},{""adm2_code"":37365,""adm2_name"":""tumpat""},{""adm2_code"":37463,""adm2_name"":""besut""},{""adm2_code"":37464,""adm2_name"":""dungun""},{""adm2_code"":37467,""adm2_name"":""kuala terengganu""},{""adm2_code"":37468,""adm2_name"":""marang""},{""adm2_code"":37469,""adm2_name"":""setiu""}]","kelantan (kota bharu, pasir mas, tumpat, bachok, tanah merah, pasir puteh, kuala krai, machang, jeli) and terengganu (besut, kuala terengganu, marang, dungun, setiu, kuala nerus)",Kelantan
2018,"Samarahan, Bintulu, Serian, Mukah, Limbang, Sarikei (Sarawak State)","[{""adm2_code"":37430,""adm2_name"":""Bintulu""},{""adm2_code"":37438,""adm2_name"":""Limbang""},{""adm2_code"":37444,""adm2_name"":""Mukah""},{""adm2_code"":37445,""adm2_name"":""Samarahan""},{""adm2_code"":37447,""adm2_name"":""Sarikei""},{""adm2_code"":37448,""adm2_name"":""Serian""}]",0,NA,3.133,3.659,0,"[{""adm2_code"":37430,""adm2_name"":""bintulu""},{""adm2_code"":37438,""adm2_name"":""limbang""},{""adm2_code"":37444,""adm2_name"":""mukah""},{""adm2_code"":37445,""adm2_name"":""samarahan""},{""adm2_code"":37447,""adm2_name"":""sarikei""},{""adm2_code"":37448,""adm2_name"":""serian""}]","samarahan, bintulu, serian, mukah, limbang, sarikei (sarawak state)",Sarawak
2018,"Kuantan, Rompin, Pekan, Jerantut, Lipis, Bera districts (Pahang state), Johor, Terengganu states","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1901,""adm1_name"":""Sabah""},{""adm2_code"":37380,""adm2_name"":""Jerantut""},{""adm2_code"":37381,""adm2_name"":""Kuantan""},{""adm2_code"":37382,""adm2_name"":""Lipis""},{""adm2_code"":37384,""adm2_name"":""Pekan""},{""adm2_code"":37386,""adm2_name"":""Rompin""},{""adm2_code"":37401,""adm2_name"":""Seberang Perai Selatan""},{""adm2_code"":37404,""adm2_name"":""Timur Laut""},{""adm2_code"":37464,""adm2_name"":""Dungun""},{""adm2_code"":37466,""adm2_name"":""Kemaman""}]",0,2,3.659,102.337,0,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1901,""adm1_name"":""sabah""},{""adm2_code"":37380,""adm2_name"":""jerantut""},{""adm2_code"":37381,""adm2_name"":""kuantan""},{""adm2_code"":37382,""adm2_name"":""lipis""},{""adm2_code"":37384,""adm2_name"":""pekan""},{""adm2_code"":37386,""adm2_name"":""rompin""},{""adm2_code"":37401,""adm2_name"":""seberang perai selatan""},{""adm2_code"":37404,""adm2_name"":""timur laut""},{""adm2_code"":37464,""adm2_name"":""dungun""},{""adm2_code"":37466,""adm2_name"":""kemaman""}]","kuantan, rompin, pekan, jerantut, lipis, bera districts (pahang state), johor, terengganu states",Johor
2019,"Belaga district (Kapit division, Northern and central Sarawak State)","[{""adm2_code"":37428,""adm2_name"":""Belaga""}]",0,NA,NA,NA,0,"[{""adm2_code"":37428,""adm2_name"":""belaga""}]","belaga district (kapit division, northern and central sarawak state)",Sarawak
2019,Peninsular malaysia,"[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1892,""adm1_name"":""Kedah""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1894,""adm1_name"":""Kuala Lumpur""},{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1896,""adm1_name"":""Negeri Sembilan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1899,""adm1_name"":""Perlis""},{""adm1_code"":1900,""adm1_name"":""Pulau Pinang""},{""adm1_code"":1903,""adm1_name"":""Selangor""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",0,NA,NA,NA,0,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1892,""adm1_name"":""kedah""},{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1894,""adm1_name"":""kuala lumpur""},{""adm1_code"":1895,""adm1_name"":""melaka""},{""adm1_code"":1896,""adm1_name"":""negeri sembilan""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm1_code"":1898,""adm1_name"":""perak""},{""adm1_code"":1899,""adm1_name"":""perlis""},{""adm1_code"":1900,""adm1_name"":""pulau pinang""},{""adm1_code"":1903,""adm1_name"":""selangor""},{""adm1_code"":1904,""adm1_name"":""terengganu""}]",peninsular malaysia,Johor
2019,"Johor state; Kota Bharu, Pasir Mas, Tumpat, Bachok, Tanah Merah, Pasir Puteh, Kuala Krai, Machang, Jeli districts (Kelantan state); Pahang state; Marang, Dungun, Kemaman, Hulu Terengganu, Setiu, Besut, Kuala Nerus districts (Terengganu state)","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1894,""adm1_name"":""Kuala Lumpur""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm2_code"":37356,""adm2_name"":""Bachok""},{""adm2_code"":37358,""adm2_name"":""Jeli""},{""adm2_code"":37359,""adm2_name"":""Kota Bharu""},{""adm2_code"":37360,""adm2_name"":""Kuala Krai""},{""adm2_code"":37361,""adm2_name"":""Machang""},{""adm2_code"":37362,""adm2_name"":""Pasir Mas""},{""adm2_code"":37363,""adm2_name"":""Pasir Puteh""},{""adm2_code"":37364,""adm2_name"":""Tanah Merah""},{""adm2_code"":37365,""adm2_name"":""Tumpat""},{""adm2_code"":37463,""adm2_name"":""Besut""},{""adm2_code"":37464,""adm2_name"":""Dungun""},{""adm2_code"":37465,""adm2_name"":""Hulu Terengganu""},{""adm2_code"":37466,""adm2_name"":""Kemaman""},{""adm2_code"":37467,""adm2_name"":""Kuala Terengganu""},{""adm2_code"":37468,""adm2_name"":""Marang""},{""adm2_code"":37469,""adm2_name"":""Setiu""}]",0,2,4.415,102.584,0,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1894,""adm1_name"":""kuala lumpur""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm2_code"":37356,""adm2_name"":""bachok""},{""adm2_code"":37358,""adm2_name"":""jeli""},{""adm2_code"":37359,""adm2_name"":""kota bharu""},{""adm2_code"":37360,""adm2_name"":""kuala krai""},{""adm2_code"":37361,""adm2_name"":""machang""},{""adm2_code"":37362,""adm2_name"":""pasir mas""},{""adm2_code"":37363,""adm2_name"":""pasir puteh""},{""adm2_code"":37364,""adm2_name"":""tanah merah""},{""adm2_code"":37365,""adm2_name"":""tumpat""},{""adm2_code"":37463,""adm2_name"":""besut""},{""adm2_code"":37464,""adm2_name"":""dungun""},{""adm2_code"":37465,""adm2_name"":""hulu terengganu""},{""adm2_code"":37466,""adm2_name"":""kemaman""},{""adm2_code"":37467,""adm2_name"":""kuala terengganu""},{""adm2_code"":37468,""adm2_name"":""marang""},{""adm2_code"":37469,""adm2_name"":""setiu""}]","johor state; kota bharu, pasir mas, tumpat, bachok, tanah merah, pasir puteh, kuala krai, machang, jeli districts (kelantan state); pahang state; marang, dungun, kemaman, hulu terengganu, setiu, besut, kuala nerus districts (terengganu state)",Johor
